"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Stromatoporida"
"Access Time","Fri 2026-01-02 02:57:31 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Stromatoporida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0312"
"Records Found","560"
"Records Returned","560"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"663559","occ","","","71458","Stromatopora cf. buecheliensis","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
"663569","occ","","","71459","Stromatopora cf. buecheliensis","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
"663572","occ","","","71459","Stromatopora huepschii","species","424976","","Stromatopora huepschii","species","424975","Givetian","","387.95","382.31","24147"
"663579","occ","","","71461","? Stromatopora cf. laminosa","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
"663616","occ","","","71464","? Ferestromatopora sp.","genus","3379","","Ferestromatopora","genus","3379","Givetian","","387.95","382.31","24147"
"663623","occ","","","71467","Stromatopora concentrica","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
"663625","occ","","","71468","Stromatopora concentrica","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
"663627","occ","","","71469","Stromatopora concentrica","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
"663628","occ","","","71469","Stromatopora cf. buecheliensis","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
"663629","occ","","","71469","? Stromatopora cf. laminosa","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
"663638","occ","","","71469","? Stromatopora planulata","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
