"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Stromatoporellida"
"Access Time","Fri 2026-01-02 02:57:12 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Stromatoporellida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0182"
"Records Found","732"
"Records Returned","732"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"407914","occ","","","39240","Hermatostroma sp.","genus","3388","","Hermatostroma","genus","3388","Frasnian","","382.31","372.15","10601"
"410407","occ","","","39633","Stromatoporella sp.","genus","3443","","Stromatoporella","genus","3443","Frasnian","","382.31","372.15","10565"
"463642","occ","","","45793","Flexiostroma crispum","genus","3380","species not entered","Trupetostroma","genus","3454","Late Emsian","","399.5","393.47","12132"
"463643","occ","","","45793","Stromatoporella loutougini","genus","3443","species not entered","Stromatoporella","genus","3443","Late Emsian","","399.5","393.47","12132"
"463644","occ","","","45793","Synthetostroma aff. sokolovi","genus","3446","species not entered","Synthetostroma","genus","3446","Late Emsian","","399.5","393.47","12132"
"463980","occ","","","45825","Idiostroma aff. colymensis","genus","3391","species not entered","Idiostroma","genus","3391","Late Emsian","","399.5","393.47","12132"
"463981","occ","","","45825","Hermatostroma ex gr. cumpani","genus","3388","species not entered","Hermatostroma","genus","3388","Late Emsian","","399.5","393.47","12132"
"464044","occ","","","45829","Hermatostroma sp.","genus","3388","","Hermatostroma","genus","3388","Lochkovian","","419.62","413.02","12132"
"464067","occ","","","45830","? Hermatostroma astroides","genus","3388","species not entered","Hermatostroma","genus","3388","Pragian","Emsian","413.02","393.47","12132"
"464249","occ","","","45839","Hermatostroma cf. undatum","genus","3388","species not entered","Hermatostroma","genus","3388","Pridoli","Lochkovian","422.7","413.02","12132"
"572868","occ","","","60159","Clathrocoilona (Clathrocoilona) sp.","subgenus","424904","","Clathrocoilona (Clathrocoilona)","subgenus","424904","Early Givetian","","387.95","385.9","17286"
"572966","occ","","","60175","Hermatostroma sp.","genus","3388","","Hermatostroma","genus","3388","Late Givetian","Frasnian","383.4","372.15","17286"
"572979","occ","","","60179","Clathrocoilona (Clathrocoilona) sp.","subgenus","424904","","Clathrocoilona (Clathrocoilona)","subgenus","424904","Late Givetian","Frasnian","383.4","372.15","17286"
"572982","occ","","","60179","Trupetostroma sp.","genus","3454","","Trupetostroma","genus","3454","Late Givetian","Frasnian","383.4","372.15","17286"
"573005","occ","","","60183","? Dendrostroma sp.","genus","3369","","Dendrostroma","genus","3369","Late Givetian","","383.4","382.31","17286"
"573360","occ","","","60245","Simplexodictyon kyssuniense","genus","3434","species not entered","Simplexodictyon","genus","3434","Sheinwoodian","Homerian","432.9","426.7","17337"
"573361","occ","","","60245","Simplexodictyon podolicum","genus","3434","species not entered","Simplexodictyon","genus","3434","Sheinwoodian","Homerian","432.9","426.7","17337"
"573500","occ","","","60286","Simplexodictyon kyssuniense","genus","3434","species not entered","Simplexodictyon","genus","3434","Gorstian","","426.7","425","17337"
"573526","occ","","","60287","Simplexodictyon perperum","genus","3434","species not entered","Simplexodictyon","genus","3434","Ludfordian","","425","422.7","17337"
"574928","occ","","","60429","Stictostroma clarum","genus","3438","species not entered","Stictostroma","genus","3438","Pragian","","413.02","410.62","17382"
