min_ma,max_ma,r_number,name,country,formation,system,series,intervall,time_slice,reliabilit,subsurface,type,thickness,m_thick,width,m_width,extension,m_ext,ext_belt
129.4,132.9,2591,"Larga, Jumilla",Spain,,Cretaceous,Lower Cretaceous,lower Hauterivian,23,3,0,2,1,8,,,2,,2
66,72.1,3095,"Jumilla-Yecla Altiplano, SE Spain",Spain,Molar,Cretaceous,Upper Cretaceous,upper Maastrichtian,26,3,0,1,1,10,1,,3,,
157.3,163.5,546,"Oxford, England",United Kingdom,Coral Rag,Jurassic,Upper Jurassic,middle-upper Oxfordian,21,3,0,4,1,,,,3,,40
100.5,113,1320,"Mimizan, Aquitaine",France,,Cretaceous,Lower Cretaceous,Vraconian,24,3,0,2,2,,,,3,,50
445.2,453,2422,Fombuena,Spain,Cystoid Limestone,Ordovician,Upper Ordovician,lower-middle Ashgillian,5,3,0,3,1,5,,,3,300,5
251.9,254.1,198,"Maltby, England",United Kingdom,,Permian,Lopingian,Zechstein 1,16,2,0,2,1,,,,1,,40
5.3,7.3,652,Corvera,Spain,,Neogene,Miocene,Messinian,32,3,0,1,1,,,,2,,30
5.3,7.3,3578,"Sidi el Mahdjoub Reef, Ain Temouchent",Algeria,,Neogene,Miocene,Messinian,32,3,0,1,1,,1,,2,,12
152.1,157.3,1142,"Chay Peninsula, La Rochelle",France,Chay,Jurassic,Upper Jurassic,lower Kimmeridgian,21,3,0,1,2,25,,,2,,30
7.3,11.6,1835,"El Desastre, Fortuna",Spain,,Neogene,Miocene,Tortonian,32,3,0,1,2,20,,,2,,
23,28.1,1984,Belus-Peyrehorade,France,,Paleogene,Oligocene,Chattian,30,3,0,1,2,,,,2,,
166.1,170.3,2478,Teruel,Spain,,Jurassic,Middle Jurassic,Bajocian-Bathonian,20,2,0,4,1,,,,,,
157.3,163.5,545,"Oswaldkirk, England",United Kingdom,,Jurassic,Upper Jurassic,middle Oxfordian,21,3,0,4,1,,,,3,,40
100.5,113,1321,"Dax, Aquitaine",France,,Cretaceous,Lower Cretaceous,Vraconian,24,3,1,2,1,,,,2,,100
23,28.1,1985,"Abese-Estoti + Escornebeou, Aquitain",France,,Paleogene,Oligocene,Chattian,30,3,0,1,1,3,,,3,,20
129.4,132.9,2590,Caudete,Spain,,Cretaceous,Lower Cretaceous,lower Hauterivian,23,3,0,2,1,8,,,1,,2
16,20.4,3571,"Cabanes reef, Saint-Paul-les-Dax, Landes",France,,Neogene,Miocene,Burdigalian,31,2,0,1,1,,1,,2,,
5.3,7.3,651,Zeneta,Spain,,Neogene,Miocene,Messinian,32,3,0,1,1,8,,,2,,30
93.9,100.5,2600,"Rochefort-Fouras, Charentes",France,,Cretaceous,Upper Cretaceous,Cenomanian,24,2,0,1,1,,,,1,,
166.1,170.3,2480,Valencia Province,Spain,,Jurassic,Middle Jurassic,Bajocian-Bathonian,20,2,0,4,1,,,,,,
152.1,157.3,4377,Jaulin,Spain,Higueruelas,Jurassic,Upper Jurassic,upper Kimmeridgian,21,3,0,3,1,,1,,,,
152.1,157.3,4376,Cruz,Spain,Higueruelas,Jurassic,Upper Jurassic,upper Kimmeridgian,21,3,0,3,1,1,1,,1,,
61.6,66,2785,"Dax, Aquitaine",France,,Paleogene,Paleocene,upper Danian,27,3,1,1,2,80,,,4,,100
5.3,7.3,899,Jebel Murdjadjo,Algeria,,Neogene,Miocene,Messinian,32,3,0,1,2,,,,4,,12
166.1,170.3,2479,Zaragoza,Spain,,Jurassic,Middle Jurassic,Bajocian-Bathonian,20,2,0,4,1,,,,,,
93.9,100.5,1303,San Just,Spain,,Cretaceous,Upper Cretaceous,Cenomanian,24,2,0,4,1,,,,1,,
22,23,1987,St. Martin-dOney,France,,Neogene,Miocene,late Aquitanian,30,3,0,2,1,,,,1,,
5.3,7.3,650,Elche,Spain,,Neogene,Miocene,Messinian,32,3,0,1,1,,,,2,,50
20.4,23,1998,Alacant region,Spain,,Neogene,Miocene,Aquitanian,30,2,0,1,2,60,,,2,,
17.5,20.4,1988,Le Peloua,France,,Neogene,Miocene,lower Burdigalian,31,3,0,1,1,,,,1,,
66,72.1,1960,"Barranc del Racó, Bocairent",Spain,,Cretaceous,Upper Cretaceous,late Maastrichtian,26,3,0,4,1,2,,,2,,
16,23,3572,"Merignac, Bordeaux, Gironde",France,,Neogene,Miocene,Aquitanian-Burdigalian,30,2,0,1,1,,1,,2,,
20.4,23,3573,"Thil, Eau Blanche Valley, Gironde",France,,Neogene,Miocene,Aquitanian,30,2,0,1,1,,1,,2,,
5.3,7.3,3580,"Ain Oumata Reef, Sidi Bel Abbes",Algeria,,Neogene,Miocene,Messinian,32,3,0,1,,,,,1,,12
5.3,7.3,900,Santa Pola,Spain,,Neogene,Miocene,Messinian,32,3,0,1,2,,,,3,,10
20.4,23,3574,"Martillac, Breyra Valley, Gironde",France,,Neogene,Miocene,Aquitanian,30,2,0,1,1,,1,,1,,
393.3,410.8,2527,Angers,France,Erbrary/Valet,Devonian,Lower Devonian,Pragian-Emsian,9,2,0,2,1,,,,1,,
157.3,163.5,2637,"Ayton Farm, North Yorkshire, England",United Kingdom,,Jurassic,Upper Jurassic,middle Oxfordian,21,3,0,1,1,2,1,,1,,40
100.5,113,1323,Arudy,France,,Cretaceous,Lower Cretaceous,Albian,24,2,1,2,4,1050,,,4,,10
166.1,168.3,584,St.-Aubin-sur-Mer,France,,Jurassic,Middle Jurassic,upper Bathonian,21,3,0,1,1,,,,1,,5
13.8,16,670,Valencia,Spain,,Neogene,Miocene,Langhian,31,3,0,1,2,,,,4,,20
